Height (meters),Weight (kg),health index
1.62,56.4,0
1.62,66.5,2
1.63,62.8,1
1.63,49.5,-1
1.63,44.6,-2
1.64,53,-1
1.65,60.8,0
1.65,51.8,-1
1.65,70.1,2
1.65,47.4,-2
1.66,65.3,1
1.67,62.1,0
1.68,64,0
1.68,68.2,1
1.68,55.6,-1
1.68,74.3,2
1.68,49.7,-2
1.69,69.1,1
1.69,56.1,-1
1.69,50.9,-2
1.7,66.2,0
1.7,59.1,-1
1.7,51.2,-2
1.71,76.8,2
1.72,71.8,1
1.72,59.2,-1
1.72,54.3,-2
1.73,68.7,0
1.73,61.2,-1
1.73,78.6,2
1.74,73.5,1
1.74,79.9,2
1.74,56.5,-2
1.75,70.3,0
1.75,62.7,-1
1.75,57.9,-2
1.76,75.7,1
1.76,80.9,2
1.77,82.4,2
1.78,74.6,0
1.78,65.9,-1
1.78,60.8,-2
1.79,77.2,1
1.79,84.2,2
1.8,77.5,0
1.8,63.5,-2
1.81,80.3,1
1.82,81.9,1
1.82,85.5,2
1.85,80.1,0